name,team,age,position,height,weight,last_attended,country,experience,ppg,rpg,apg,pie,birth_year,draft_year,draft_pick,age_drafted,bmi
"Markieff Morris","Los Angeles Lakers",31,Forward,2.06,111,Kansas,USA,9,7.3,4.6,1.2,8.2,1989,2011,13,22,26.157036478461684
"Monte Morris","Denver Nuggets",25,Guard,1.88,83,"Iowa State",USA,3,10.3,2.2,3.2,9.1,1995,2017,51,22,23.48347668628339
"Marcus Morris Sr.","LA Clippers",31,Forward,2.03,99,Kansas,USA,9,13.6,4.1,1,9.1,1989,2011,14,22,24.023878279016728
"Mychal Mulder","Golden State Warriors",26,Guard,1.91,83,Kentucky,Canada,1,3.6,0.8,0.4,5,1994,Undrafted,Undrafted,25,22.75156931005181
"Dejounte Murray","San Antonio Spurs",24,Guard,1.93,82,Washington,USA,3,15.5,6.9,5.3,12.5,1996,2016,29,21,22.014013799028163
"Jamal Murray","Denver Nuggets",24,Guard,1.91,98,Kentucky,Canada,4,21.2,4,4.8,11.7,1997,2016,7,20,26.863298703434666
"Mike Muscala","Oklahoma City Thunder",29,Forward-Center,2.08,109,Bucknell,USA,7,9.7,3.8,0.8,11.2,1991,2013,44,22,25.194156804733726
"Svi Mykhailiuk","Oklahoma City Thunder",23,Guard-Forward,2.01,93,Kansas,Ukraine,2,8,2.5,1.6,7.8,1997,2018,47,21,23.01923219722285
"Abdel Nader","Phoenix Suns",27,Forward,1.96,102,"Iowa State",Egypt,3,6.7,2.6,0.8,9.2,1993,2016,58,24,26.55143690129113
"Larry Nance Jr.","Cleveland Cavaliers",28,Forward-Center,2.01,111,Wyoming,USA,5,9.6,6.7,3,10.6,1993,2015,27,23,27.474567461201463
"Aaron Nesmith","Boston Celtics",21,Guard-Forward,1.96,98,Vanderbilt,USA,0,3.3,2.1,0.3,4,1999,2020,14,21,25.510204081632654
"Raul Neto","Washington Wizards",28,Guard,1.85,82,Murcia,Brazil,5,8.1,2.3,2.1,8.5,1992,2013,47,23,23.959094229364496
"Georges Niang","Utah Jazz",27,Forward,2.01,104,"Iowa State",USA,4,5.9,2.4,0.8,7.1,1993,2016,50,23,25.741937080765336
"Zeke Nnaji","Denver Nuggets",20,Forward-Center,2.06,109,Arizona,USA,0,3.3,1.6,0.2,7,2001,2020,22,20,25.68573852389481
"Nerlens Noel","New York Knicks",27,Center-Forward,2.11,100,Kentucky,USA,6,5.2,6.6,0.7,8.4,1994,2013,6,21,22.46131039284832
"Jaylen Nowell","Minnesota Timberwolves",21,Guard,1.93,91,Washington,USA,1,9.5,2.3,1.6,8.3,1999,2019,43,20,24.43018604526296
"Frank Ntilikina","New York Knicks",22,Guard,1.93,91,"Strasbourg IG",France,3,3.1,1,0.6,3.3,1998,2017,8,19,24.43018604526296
"Kendrick Nunn","Miami Heat",25,Guard,1.88,86,Oakland,USA,1,13.6,3.2,2.8,9.3,1995,Undrafted,Undrafted,24,24.332277048438208
"James Nunnally","Philadelphia 76ers",30,Forward,2.01,93,"California-Santa Barbara",USA,2,2.7,1.3,0,6.6,1990,Undrafted,Undrafted,28,23.01923219722285
"Jusuf Nurkic","Portland Trail Blazers",26,Center,2.11,132,Cedevita,"Bosnia and Herzegovina",6,9.3,7.4,3.3,10.5,1994,2014,16,20,29.64892971855978
"David Nwaba","Houston Rockets",28,Guard-Forward,1.96,99,"Cal Poly-Obispo",USA,4,9.2,3.9,1,8.9,1993,Undrafted,Undrafted,24,25.770512286547273
"Jordan Nwora","Milwaukee Bucks",22,Forward,2.03,102,Louisville,USA,0,5.2,1.7,0.3,9.9,1998,2020,45,22,24.75187459050208
"Royce O'Neale","Utah Jazz",27,Forward,1.93,103,Baylor,USA,3,6.9,7.1,2.5,7.3,1993,Undrafted,Undrafted,24,27.65174904024269
"Semi Ojeleye","Boston Celtics",26,Forward,1.98,109,"Southern Methodist",USA,3,4.8,2.7,0.7,6.2,1994,2017,37,23,27.803285379042954
"Jahlil Okafor","Detroit Pistons",25,Center-Forward,2.08,122,Duke,USA,5,4.4,2.1,0.6,9.6,1995,2015,3,20,28.198964497041416
"Chuma Okeke","Orlando Magic",22,Forward,1.98,104,Auburn,USA,0,7.2,4,2.2,8,1998,2019,16,22,26.527905315784103
"Josh Okogie","Minnesota Timberwolves",22,Guard,1.93,97,"Georgia Tech",Nigeria,2,5.6,2.6,1.1,4.3,1998,2018,20,20,26.040967542752828
"Onyeka Okongwu","Atlanta Hawks",20,Forward-Center,2.03,107,"Southern California",USA,0,3.9,2.9,0.2,7.9,2000,2020,6,20,25.965201776311005
"Isaac Okoro","Cleveland Cavaliers",20,Forward-Guard,1.96,102,Auburn,USA,0,8.3,2.8,1.7,3.9,2001,2020,5,20,26.55143690129113
"KZ Okpala","Miami Heat",21,Forward-Guard,2.03,98,Stanford,USA,1,2.4,2,0.5,1.6,1999,2019,32,20,23.78121284185494
"Victor Oladipo","Miami Heat",28,Guard,1.93,97,Indiana,USA,7,19.8,4.8,4.6,10.9,1992,2013,2,21,26.040967542752828
"Kelly Olynyk","Houston Rockets",30,Forward-Center,2.11,109,Gonzaga,Canada,7,11.9,6.5,2.2,10,1991,2013,13,23,24.48282832820467
"Miye Oni","Utah Jazz",23,Guard-Forward,1.96,93,Yale,USA,1,2,1.6,0.3,3.9,1997,2019,58,22,24.20866305705956
"Cedi Osman","Cleveland Cavaliers",26,Forward,2.01,104,"Anadolu Efes",Turkey,3,9.5,3.3,2.6,7.3,1995,2015,31,23,25.741937080765336
"Daniel Oturu","LA Clippers",21,Center,2.03,109,Minnesota,USA,0,1.4,1,0.3,8.4,1999,2020,33,21,26.450532650634578
"Kelly Oubre Jr.","Golden State Warriors",25,Forward-Guard,2.01,92,Kansas,USA,5,15.3,6,1.3,8.9,1995,2015,15,20,22.771713571446256
"Jabari Parker","Boston Celtics",26,Forward,2.03,111,Duke,USA,6,5.5,2.5,0.8,9.5,1995,2014,2,20,26.935863524958148
"Eric Paschall","Golden State Warriors",24,Forward,1.98,116,Villanova,USA,1,9.5,3.2,1.3,9.9,1996,2019,41,23,29.58881746760535
"Anzejs Pasecniks",N/A,25,Center-Forward,2.16,104,"Gran Canaria",Latvia,1,0,1,1,-26,1995,2017,25,24,22.290809327846365
"Patrick Patterson","LA Clippers",32,Forward,2.03,107,Kentucky,USA,10,4.8,1.8,0.7,6.8,1989,2010,14,22,25.965201776311005
"Justin Patton",N/A,23,Center,2.11,109,Creighton,USA,3,5.4,3.8,1.1,6.5,1997,2017,16,20,24.48282832820467
"Chris Paul","Phoenix Suns",35,Guard,1.83,79,"Wake Forest",USA,15,16,4.7,8.8,14.8,1985,2005,4,20,23.589835468362743
"Cameron Payne","Phoenix Suns",26,Guard,1.85,83,"Murray State",USA,5,7.3,2.3,3.5,10.9,1994,2015,14,21,24.251278305332356
"Elfrid Payton","New York Knicks",27,Guard,1.91,88,Louisana-Lafayette,USA,6,11.5,3.6,3.5,8.4,1994,2014,10,21,24.12214577451276
"Gary Payton II","Golden State Warriors",28,Guard,1.91,88,"Oregon State",USA,4,1.7,1,0,20.7,1992,Undrafted,Undrafted,24,24.12214577451276
"Norvel Pelle","New York Knicks",28,Center,2.08,105,Iona,USA,1,2,1.9,0.1,5.4,1993,Undrafted,Undrafted,27,24.269600591715975
"Reggie Perry","Brooklyn Nets",21,Forward-Center,2.03,113,"Mississippi State",USA,0,3.6,3.1,0.7,6.7,2000,2020,57,21,27.421194399281717
"Theo Pinson","New York Knicks",25,Guard-Forward,1.96,96,"North Carolina",USA,2,0.1,0.1,0.1,-7.1,1995,Undrafted,Undrafted,23,24.989587671803417
"Mason Plumlee","Detroit Pistons",31,Forward-Center,2.11,115,Duke,USA,7,10.2,9.2,3.6,12.5,1990,2013,22,24,25.83050695177557
"Jakob Poeltl","San Antonio Spurs",25,Center,2.16,111,Utah,Austria,4,8.5,8.1,1.8,10.3,1995,2016,9,21,23.791152263374485
"Vincent Poirier",N/A,27,Center-Forward,2.13,107,Baskonia,France,1,0.8,1.4,0.2,-2,1993,Undrafted,Undrafted,26,23.584385814102145
"Aleksej Pokusevski","Oklahoma City Thunder",19,Center,2.13,86,Olympiacos,Serbia,0,7.5,4.7,2.1,6,2001,2020,17,19,18.955674579558732
"Jordan Poole","Golden State Warriors",21,Guard,1.93,88,Michigan,USA,1,11,1.5,1.9,9.6,1999,2019,28,20,23.624795296518027
"Jontay Porter","Memphis Grizzlies",21,Center-Forward,2.11,109,Missouri,USA,0,1.1,1.3,0.1,9.2,1999,Undrafted,Undrafted,21,24.48282832820467
"Kevin Porter Jr.","Houston Rockets",20,Guard-Forward,1.93,92,"Southern California",USA,1,15.5,3.8,6.2,8.4,2000,2019,30,19,24.69864962817794
"Michael Porter Jr.","Denver Nuggets",22,Forward,2.08,99,Missouri,USA,1,17.6,7.7,1,12,1998,2018,14,21,22.882766272189347
"Otto Porter Jr.","Orlando Magic",27,Forward,2.03,90,Georgetown,USA,7,9.7,5.4,2,11.6,1993,2013,3,20,21.83988934456066
"Bobby Portis","Milwaukee Bucks",26,Forward,2.08,113,Arkansas,USA,5,11.4,7,1.1,13.1,1995,2015,22,21,26.118713017751478
"Kristaps Porzingis","Dallas Mavericks",25,Forward-Center,2.21,109,"Cajasol Sevilla",Latvia,4,20.4,9.3,1.6,13.7,1995,2015,4,21,22.317315370283165
"Dwight Powell","Dallas Mavericks",29,Forward-Center,2.08,109,Stanford,Canada,6,4.8,3.4,0.8,8.8,1991,2014,45,23,25.194156804733726
"Norman Powell","Portland Trail Blazers",27,Guard,1.91,98,UCLA,USA,5,19.1,3,1.8,10.1,1993,2015,46,22,26.863298703434666
"Taurean Prince","Cleveland Cavaliers",27,Forward,2.01,99,Baylor,USA,4,9.5,3.5,1.9,8,1994,2016,12,23,24.504343951882387
"Payton Pritchard","Boston Celtics",23,Guard,1.85,88,Oregon,USA,0,7.2,2.2,1.8,7.6,1998,2020,26,23,25.712198685171657
"Immanuel Quickley","New York Knicks",21,Guard,1.91,86,Kentucky,USA,0,11.8,2.2,2.1,10.7,1999,2020,25,21,23.573915188728378
"Jahmi'us Ramsey","Sacramento Kings",19,Guard,1.91,86,"Texas Tech",USA,0,1.4,0.8,0.2,10.9,2001,2020,43,19,23.573915188728378
"Chasson Randle","Orlando Magic",28,Guard,1.88,84,Stanford,USA,3,5.6,1.7,1.9,4.8,1993,2015,,25,23.766410140334994
"Julius Randle","New York Knicks",26,Forward-Center,2.03,113,Kentucky,USA,6,23.9,10.5,6.1,16.1,1994,2014,7,20,27.421194399281717
"Cam Reddish","Atlanta Hawks",21,Forward-Guard,2.03,99,Duke,USA,1,11.2,4,1.3,5.3,1999,2019,10,20,24.023878279016728
"JJ Redick","Dallas Mavericks",36,Guard,1.91,91,Duke,USA,14,8.2,1.6,1.2,7.3,1984,2006,11,22,24.94449165318933
"Paul Reed","Philadelphia 76ers",21,Forward,2.06,95,DePaul,USA,0,2.6,1.8,0.3,9.4,1999,2020,58,21,22.38665284192667
"Naz Reid","Minnesota Timberwolves",21,Center-Forward,2.06,120,"Louisiana State",USA,1,11.2,4.6,1.1,11.7,1999,Undrafted,Undrafted,20,28.27787727401263
"Cameron Reynolds",N/A,26,Foward,2.01,102,Tulane,USA,1,0.7,0,0,5.7,1995,Undrafted,Undrafted,25,25.246899829212154
"Nick Richards","Charlotte Hornets",23,Center,2.13,111,Kentucky,Jamaica,0,0.9,0.6,0.1,4.1,1997,2020,42,23,24.466045096872318
"Josh Richardson","Dallas Mavericks",27,Guard,1.96,91,Tennessee,USA,5,12.3,3.5,2.8,7.1,1993,2015,40,22,23.688046647230323
"Grant Riller","Charlotte Hornets",24,Guard,1.88,86,"College of Charleston",USA,0,2.3,0,0.8,17.3,1997,2020,56,24,24.332277048438208
"Austin Rivers","Denver Nuggets",28,Guard,1.93,91,Duke,USA,8,7.2,2.3,1.9,7.4,1992,2012,10,20,24.43018604526296
"Andre Roberson",N/A,29,Guard-Forward,2.01,95,Colorado,USA,6,1.2,3,0.8,2.3,1991,2013,26,23,23.514269448776027
"Duncan Robinson","Miami Heat",27,Forward,2.01,98,Michigan,USA,2,13,3.5,1.8,7.6,1994,Undrafted,Undrafted,25,24.256825326105798
"Jerome Robinson",N/A,24,Guard,1.93,86,"Boston College",USA,2,4.9,2.2,1.5,3.1,1997,2018,13,22,23.087868130688072
"Justin Robinson","Oklahoma City Thunder",23,Guard,1.85,88,"Virginia Tech",USA,1,2.6,0.9,1.1,3.3,1997,2019,,22,25.712198685171657
"Mitchell Robinson","New York Knicks",23,Center-Forward,2.13,109,"Western Kentucky",USA,2,8.3,8.1,0.5,10.4,1998,2018,36,21,24.02521545548723
"Glenn Robinson III",N/A,27,Foward,1.98,101,Michigan,USA,6,5.3,2,0.9,5.7,1994,2014,40,21,25.762677277828793
"Isaiah Roby","Oklahoma City Thunder",23,Forward,2.03,104,Nebraska-Lincoln,USA,1,8.8,5.6,1.9,8.5,1998,2019,45,22,25.237205464825653
"Rajon Rondo","LA Clippers",35,Guard,1.85,82,Kentucky,USA,14,4.6,2.1,3.9,10.2,1986,2006,21,21,23.959094229364496
"Derrick Rose","New York Knicks",32,Guard,1.88,91,Memphis,USA,11,13.7,2.2,4,12.5,1988,2008,1,21,25.746944318696244
"Terrence Ross","Orlando Magic",30,Guard-Forward,1.98,93,Washington,USA,8,15.6,3.4,2.3,9,1991,2012,8,22,23.72206917661463
"Terry Rozier","Charlotte Hornets",27,Guard,1.85,86,Louisville,USA,5,20.5,4.3,3.9,11.6,1994,2015,16,22,25.127830533235937
"Ricky Rubio","Minnesota Timberwolves",30,Guard,1.91,86,"FC Barcelona",Spain,9,8.4,3.2,6.7,9.5,1990,2009,5,21,23.573915188728378
"D'Angelo Russell","Minnesota Timberwolves",25,Guard,1.93,88,"Ohio State",USA,5,19.2,2.5,5.1,11.1,1996,2015,2,20,23.624795296518027
"Domantas Sabonis","Indiana Pacers",24,Forward-Center,2.11,109,Gonzaga,Lithuania,4,19.9,11.6,6,14.6,1996,2016,11,20,24.48282832820467
"Luka Samanic","San Antonio Spurs",21,Forward,2.08,103,"Union Olimpija",Croatia,1,3.3,2,0.5,5.5,2000,2019,19,20,23.8073224852071
"JaKarr Sampson","Indiana Pacers",28,Forward,2.01,97,"St. John's",USA,5,3.3,2.2,0.1,5.9,1993,Undrafted,Undrafted,23,24.009306700329205
"Dario Saric","Phoenix Suns",27,Forward-Center,2.08,102,"Anadolu Efes",Croatia,4,9.1,4,1.3,10,1994,2014,12,23,23.57618343195266
"Tomas Satoransky","Chicago Bulls",29,Guard,2.01,95,"FC Barcelona","Czech Republic",4,8,2.4,5,9.5,1991,2012,32,25,23.514269448776027
"Dennis Schroder","Los Angeles Lakers",27,Guard,1.91,78,Braunschweig,Germany,7,15.6,3.5,5.6,9.7,1993,2013,17,20,21.380992845590857
"Mike Scott","Philadelphia 76ers",32,Forward,2.01,108,Virginia,USA,8,4.5,2.6,0.7,5.2,1988,2012,43,24,26.732011583871692
"Jay Scrubb","LA Clippers",20,Guard,1.96,100,USA,USA,0,0,0,0,0,2000,2020,55,20,26.030820491461892
"Collin Sexton","Cleveland Cavaliers",22,Guard,1.85,86,Alabama,USA,2,24.4,3,4.1,11.6,1999,2018,8,20,25.127830533235937
"Landry Shamet","Brooklyn Nets",24,Guard,1.93,86,"Wichita State",USA,2,9.4,1.8,1.5,6.6,1997,2018,26,22,23.087868130688072
"Iman Shumpert",N/A,30,Guard,1.96,96,"Georgia Tech",USA,9,1,0.5,0,-1.1,1990,2011,17,21,24.989587671803417
"Pascal Siakam","Toronto Raptors",27,Forward,2.06,104,"New Mexico State",Cameroon,4,20.9,7.2,4.7,12.2,1994,2016,27,23,24.507493637477616
"Chris Silva","Sacramento Kings",24,Forward,2.03,106,"South Carolina",Gabon,1,2.1,1.8,0.4,6.4,1996,Undrafted,Undrafted,23,25.722536339149222
"Ben Simmons","Philadelphia 76ers",24,Guard-Forward,2.11,109,"Louisiana State",Australia,3,14.8,7.6,7.1,12.6,1996,2016,1,21,24.48282832820467
"Anfernee Simons","Portland Trail Blazers",21,Guard,1.91,82,"Edgewater HS (FL)",USA,2,8,2.2,1.4,8.4,1999,2018,24,19,22.47745401715962
"Deividas Sirvydis","Detroit Pistons",20,Forward-Guard,2.03,86,"Lietuvos rytas Vilnius",Lithuania,0,1.2,0.6,0.1,7.7,2000,2019,37,20,20.869227595913518
"Alen Smailagic","Golden State Warriors",20,Forward,2.08,98,Beko,Serbia,1,1.9,0.8,0.1,6.1,2000,2019,39,19,22.65162721893491
"Marcus Smart","Boston Celtics",27,Guard,1.91,100,"Oklahoma State",USA,6,13.4,3.4,5.6,9.3,1994,2014,6,21,27.411529289219047
"Ish Smith","Washington Wizards",32,Guard,1.83,79,"Wake Forest",USA,10,6,3.4,4.2,9.5,1988,Undrafted,Undrafted,22,23.589835468362743
"Jalen Smith","Phoenix Suns",21,Forward-Center,2.08,98,Maryland,USA,0,1.3,1,0.1,3,2000,2020,10,21,22.65162721893491
"Dennis Smith Jr.","Detroit Pistons",23,Guard,1.88,93,"North Carolina State",USA,3,6.7,2.4,3.3,9.3,1997,2017,9,20,26.312811226799457
"Tony Snell","Atlanta Hawks",29,Guard,1.98,97,"New Mexico",USA,7,5.5,2.4,1.3,6.4,1991,2013,20,22,24.742373227221712
"Ray Spalding",N/A,24,Foward,2.06,102,Louisville,USA,1,2,2,0,-2.6,1997,2018,56,23,24.036195682910737
"Cassius Stanley","Indiana Pacers",21,Guard,1.96,86,Duke,USA,0,1.1,0.7,0,-0.5,1999,2020,54,21,22.38650562265723
"Lamar Stevens","Cleveland Cavaliers",23,Forward,1.98,104,"Penn State",USA,0,4.2,2.5,0.6,7.4,1997,Undrafted,Undrafted,23,26.527905315784103
"Isaiah Stewart","Detroit Pistons",19,Forward-Center,2.03,113,Washington,USA,0,7.3,6.6,0.9,11,2001,2020,16,19,27.421194399281717
"Max Strus","Miami Heat",25,Guard-Forward,1.96,98,DePaul,USA,1,5.5,0.8,0.5,6.8,1996,Undrafted,Undrafted,24,25.510204081632654
"Edmond Sumner","Indiana Pacers",25,Guard,1.93,89,Xavier,USA,3,6.7,1.7,0.8,7.1,1995,2017,52,22,23.893258879433006
"Jae'Sean Tate","Houston Rockets",25,Forward,1.93,104,"Ohio State",USA,0,11,5.4,2.2,8.5,1995,Undrafted,Undrafted,25,27.92021262315767
"Jayson Tatum","Boston Celtics",23,Forward-Guard,2.03,95,Duke,USA,3,25.5,7.3,4.4,15.2,1998,2017,3,20,23.053216530369586
"Jeff Teague","Milwaukee Bucks",32,Guard,1.91,88,"Wake Forest",USA,11,6.8,1.7,2.3,7.6,1988,2009,19,21,24.12214577451276
"Garrett Temple","Chicago Bulls",34,Guard-Forward,1.96,88,"Louisiana State",USA,10,7.9,2.9,2.1,5.4,1986,Undrafted,Undrafted,24,22.907122032486466
"Tyrell Terry","Dallas Mavericks",20,Guard,1.88,73,Stanford,USA,0,1,0.5,0.5,6.7,2000,2020,31,20,20.654142145767317
"Daniel Theis","Chicago Bulls",29,Forward-Center,2.03,111,"Brose Bamberg",Germany,3,9.4,5.1,1.7,9.2,1992,Undrafted,Undrafted,26,26.935863524958148
"Brodric Thomas","Cleveland Cavaliers",24,Guard,1.96,84,"Truman State",USA,0,2.7,0.9,0.7,3.9,1997,Undrafted,Undrafted,24,21.86588921282799
"Isaiah Thomas",N/A,32,Guard,1.75,84,Washington,USA,9,7.7,1.3,1.7,3.3,1989,2011,60,23,27.428571428571427
"Matt Thomas","Utah Jazz",26,Guard,1.93,86,"Iowa State",USA,1,2.7,0.9,0.4,5.2,1994,Undrafted,Undrafted,25,23.087868130688072
"Klay Thompson","Golden State Warriors",31,Guard,1.98,98,"Washington State",USA,8,21.5,3.8,2.4,10.3,1990,2011,11,23,24.997449239873482
"Tristan Thompson","Boston Celtics",30,Center-Forward,2.06,115,Texas-Austin,Canada,9,8,8.1,1.1,10.3,1991,2011,4,21,27.099632387595438
"Sindarius Thornwell",N/A,26,Guard,1.93,98,"South Carolina",USA,3,1.2,0.4,0.3,2.9,1994,2017,48,23,26.309431125667803
"Matisse Thybulle","Philadelphia 76ers",24,Guard-Forward,1.96,91,Washington,USA,1,3.8,2,0.9,5.2,1997,2019,20,23,23.688046647230323
"Killian Tillie","Memphis Grizzlies",23,Forward-Center,2.06,100,Gonzaga,France,0,2.6,1.3,0.3,3.6,1998,Undrafted,Undrafted,23,23.56489772834386
"Xavier Tillman","Memphis Grizzlies",22,Forward,2.03,111,"Michigan State",USA,0,6.8,4.4,1.3,9.2,1999,2020,35,22,26.935863524958148
"Anthony Tolliver","Philadelphia 76ers",35,Forward,2.03,109,Creighton,USA,12,0,2,1,1.1,1985,Undrafted,Undrafted,23,26.450532650634578
"Obi Toppin","New York Knicks",23,Forward,2.06,100,Dayton,USA,0,3.9,2.3,0.5,8.6,1998,2020,8,23,23.56489772834386
"Juan Toscano-Anderson","Golden State Warriors",28,Forward,1.98,95,Marquette,USA,1,5.1,3.9,2.3,9.6,1993,Undrafted,Undrafted,27,24.232221201918172
"Axel Toupane","Milwaukee Bucks",28,Guard-Forward,2.01,95,"Strasbourg IG",France,2,1.8,0.8,0.5,6,1992,Undrafted,Undrafted,26,23.514269448776027
"Karl-Anthony Towns","Minnesota Timberwolves",25,Center-Forward,2.11,112,Kentucky,USA,5,24.8,10.9,4.6,15.7,1995,2015,1,20,25.15666763999012
"Gary Trent Jr.","Toronto Raptors",22,Guard-Forward,1.96,95,Duke,USA,2,15.4,2.6,1.4,7.3,1999,2018,37,20,24.729279466888798
"P.J. Tucker","Milwaukee Bucks",35,Forward,1.96,111,Texas-Austin,USA,9,4,4.3,1.2,3.7,1985,2006,35,26,28.894210745522702
"Rayjon Tucker","Philadelphia 76ers",23,Guard,1.91,95,"Arkansas-Little Rock",USA,1,1.6,0.8,0.4,27.2,1997,Undrafted,Undrafted,22,26.040952824758094
"Myles Turner","Indiana Pacers",25,Center-Forward,2.11,113,Texas-Austin,USA,5,12.6,6.5,1,9,1996,2015,11,20,25.3812807439186
"Jonas Valanciunas","Memphis Grizzlies",28,Center,2.11,120,"Lietuvos rytas Vilnius",Lithuania,8,17,12.6,1.8,15.9,1992,2011,5,20,26.953572471417985
"Denzel Valentine","Chicago Bulls",27,Guard,1.93,100,"Michigan State",USA,3,6.9,3.4,1.6,8.6,1993,2016,14,24,26.846358291497758
"Fred VanVleet","Toronto Raptors",27,Guard,1.85,89,"Wichita State",USA,4,19.4,4.1,6.1,11.5,1994,Undrafted,Undrafted,23,26.004382761139514
"Jarred Vanderbilt","Minnesota Timberwolves",22,Forward,2.06,97,Kentucky,USA,2,5.2,5.4,1.3,10.5,1999,2018,41,20,22.857950796493544
"Devin Vassell","San Antonio Spurs",20,Guard-Forward,1.96,91,"Florida State",USA,0,5.1,2.6,0.9,7.5,2000,2020,11,20,23.688046647230323
"Gabe Vincent","Miami Heat",24,Guard,1.91,91,"California-Santa Barbara",USA,1,5,1.1,1.3,4.8,1996,Undrafted,Undrafted,23,24.94449165318933
"Noah Vonleh",N/A,25,Foward,2.08,117,Indiana,USA,6,0,0.3,0.3,-9.4,1995,2014,9,19,27.043269230769226
"Nikola Vucevic","Chicago Bulls",30,Center,2.11,118,"Southern California",Montenegro,9,23.9,11.3,3.7,17,1990,2011,16,21,26.50434626356102
"Dean Wade","Cleveland Cavaliers",24,Forward-Center,2.06,103,"Kansas State",USA,1,5.2,3.1,1.1,8.4,1996,Undrafted,Undrafted,23,24.271844660194176
"Moritz Wagner",N/A,23,Foward-Center,2.11,111,Michigan,Germany,2,5.6,2.7,1.1,8.7,1997,2018,25,21,24.932054536061635
"Kemba Walker","Boston Celtics",30,Guard,1.83,83,Connecticut,USA,9,18.2,3.9,5,12,1990,2011,9,21,24.78425751739377
"Lonnie Walker IV","San Antonio Spurs",22,Guard-Forward,1.93,93,Miami,USA,2,11,2.6,1.7,6.2,1998,2018,18,20,24.967113211092915
"John Wall","Houston Rockets",30,Guard,1.91,95,Kentucky,USA,9,20.4,3.2,6.7,11.2,1990,2010,1,21,26.040952824758094
"Brad Wanamaker","Charlotte Hornets",31,Guard,1.91,95,Pittsburgh,USA,2,5.3,1.7,2.9,7.5,1989,Undrafted,Undrafted,29,26.040952824758094
"T.J. Warren","Indiana Pacers",27,Forward,2.03,100,"North Carolina State",USA,6,15.5,3.5,1.3,7.2,1993,2014,14,21,24.26654371617851
"P.J. Washington","Charlotte Hornets",22,Forward,2.01,104,Kentucky,USA,1,11.9,6.3,2.6,8.6,1998,2019,12,21,25.741937080765336
"Yuta Watanabe","Toronto Raptors",26,Guard-Forward,2.06,98,"George Washington",Japan,2,4,3.3,0.7,9.5,1994,Undrafted,Undrafted,24,23.093599773776983
"Tremont Waters","Boston Celtics",23,Guard,1.78,79,"Louisiana State",USA,1,2.9,0.6,2.1,11.9,1998,2019,51,22,24.933720489837143
"Paul Watson","Toronto Raptors",26,Guard,1.98,95,"Fresno State",USA,1,4.1,1.7,0.6,7.1,1994,Undrafted,Undrafted,25,24.232221201918172
"Quinndary Weatherspoon","San Antonio Spurs",24,Guard,1.91,93,"Mississippi State",USA,1,1.1,0.4,0.3,1.2,1996,2019,49,23,25.492722238973712
"Russell Westbrook","Washington Wizards",32,Guard,1.91,91,UCLA,USA,12,21.6,11.1,10.9,15.8,1988,2008,4,20,24.94449165318933
"Coby White","Chicago Bulls",21,Guard,1.96,88,"North Carolina",USA,1,14.5,4.1,4.5,8.6,2000,2019,7,20,22.907122032486466
"Derrick White","San Antonio Spurs",26,Guard,1.93,86,Colorado,USA,3,15.4,2.9,3.6,8.9,1994,2017,29,23,23.087868130688072
"Hassan Whiteside","Sacramento Kings",31,Center,2.13,120,Marshall,USA,8,8.1,6,0.6,12.3,1989,2010,33,23,26.44977848310521
"Greg Whittington",N/A,28,Foward,2.03,95,"Georgetown ",USA,0,0,0,0,-7.1,1993,Undrafted,Undrafted,28,23.053216530369586
"Andrew Wiggins","Golden State Warriors",26,Forward,2.01,89,Kansas,Canada,6,18.1,4.8,2.3,9.7,1995,2014,1,20,22.02915769411649
"Grant Williams","Boston Celtics",22,Forward,1.98,107,Tennessee,USA,1,4.4,2.9,1,3.5,1998,2019,22,21,27.293133353739414
"Kenrich Williams","Oklahoma City Thunder",26,Guard-Forward,1.98,95,TCU,USA,2,7.6,4.2,2.2,9,1994,Undrafted,Undrafted,24,24.232221201918172
"Lou Williams","Atlanta Hawks",34,Guard,1.85,79,"South Gwinnett HS (GA)",USA,15,12.1,2,3.4,9.8,1986,2005,45,19,23.08254200146092
"Patrick Williams","Chicago Bulls",19,Forward,2.01,98,"Florida State",USA,0,9.2,4.7,1.4,7,2001,2020,4,19,24.256825326105798
"Robert Williams III","Boston Celtics",23,Center-Forward,2.03,108,"Texas A&M",USA,2,8.2,7,1.8,15.6,1997,2018,27,21,26.20786721347279
"Zion Williamson","New Orleans Pelicans",20,Forward,2.01,129,Duke,USA,1,26.9,7.2,3.6,16.1,2000,2019,1,19,31.929902725180078
"D.J. Wilson","Houston Rockets",25,Forward,2.08,105,Michigan,USA,3,4.3,2.7,0.5,7.3,1996,2017,17,22,24.269600591715975
"Dylan Windler","Cleveland Cavaliers",24,Guard-Forward,1.98,89,Belmont,USA,0,5.2,3.5,1.1,8.2,1996,2019,26,24,22.70176512600755
"Justise Winslow","Memphis Grizzlies",25,Forward-Guard,1.98,101,Duke,USA,5,6.8,4.4,1.8,4.8,1996,2015,10,20,25.762677277828793
"Cassius Winston","Washington Wizards",23,Guard,1.85,84,"Michigan State",USA,0,2.1,0.5,0.6,8.4,1998,2020,53,23,24.543462381300216
"James Wiseman","Golden State Warriors",20,Center,2.13,109,Memphis,USA,0,11.5,5.8,0.7,8.8,2001,2020,2,20,24.02521545548723
