name,team,age,position,height,weight,last_attended,country,experience,ppg,rpg,apg,pie,birth_year,draft_year,draft_pick,age_drafted,bmi
"Kevin Durant","Brooklyn Nets",32,Forward,2.08,109,Texas-Austin,USA,12,27.3,6.7,5.2,16.9,1988,2007,2,20,25.194156804733726
"Anthony Edwards","Minnesota Timberwolves",19,Guard,1.93,102,Georgia,USA,0,18.3,4.3,2.7,8.5,2001,2020,1,19,27.383285457327716
"Carsen Edwards","Boston Celtics",23,Guard,1.8,91,Purdue,USA,1,4.3,0.9,0.4,7.1,1998,2019,33,22,28.086419753086417
"CJ Elleby","Portland Trail Blazers",20,Forward-Guard,1.98,91,"Washington State",USA,0,2.4,1,0.2,4.1,2000,2020,46,20,23.21191715131109
"Henry Ellenson",N/A,24,Foward-Center,2.08,109,Marquette,USA,4,7.5,6,2.5,10.6,1997,2016,18,20,25.194156804733726
"Wayne Ellington","Detroit Pistons",33,Guard,1.93,94,"North Carolina",USA,11,9.8,1.9,1.4,7.7,1987,2009,28,22,25.235576794007894
"Joel Embiid","Philadelphia 76ers",27,Center-Forward,2.13,127,Kansas,Cameroon,4,30,11.1,3.1,20.8,1994,2014,3,23,27.99268222795301
"James Ennis III","Orlando Magic",30,Forward,1.98,98,"California State-Long Beach",USA,6,8.6,4.1,1.5,7.7,1990,2013,50,24,24.997449239873482
"Drew Eubanks","San Antonio Spurs",24,Forward-Center,2.06,111,"Oregon State",USA,2,5.5,4.3,0.9,12,1997,Undrafted,Undrafted,22,26.157036478461684
"Dante Exum","Houston Rockets",25,Guard,1.96,97,"Australian Institute of Sport",Australia,5,3.8,2.8,2.2,5.8,1995,2014,5,20,25.249895876718035
"Tacko Fall","Boston Celtics",25,Center,2.26,141,"Central Florida",Senegal,1,2.7,2.5,0.1,10.9,1995,Undrafted,Undrafted,24,27.605920588926313
"Derrick Favors","Utah Jazz",29,Forward,2.06,120,"Georgia Tech",USA,10,5.6,5.5,0.7,10.9,1991,2010,3,19,28.27787727401263
"Cristiano Felicio","Chicago Bulls",28,Forward-Center,2.11,122,Flamengo,Brazil,5,1.1,1.1,0.6,11,1992,Undrafted,Undrafted,23,27.40279867927495
"Terrance Ferguson",N/A,22,Guard,1.98,86,Adelaide,USA,3,0.2,0.1,0.2,-6.5,1998,2017,21,19,21.93653708805224
"Bruno Fernando","Atlanta Hawks",22,Forward-Center,2.06,109,Maryland,Angola,1,1.3,2.4,0.3,6.8,1998,2019,34,21,25.68573852389481
"Yogi Ferrell","LA Clippers",27,Guard,1.83,81,Indiana,USA,4,9,2.3,4,9.5,1993,Undrafted,Undrafted,23,24.187046492878256
"Dorian Finney-Smith","Dallas Mavericks",27,Forward,2.01,100,Florida,USA,4,9.4,5.5,1.5,7,1993,Undrafted,Undrafted,23,24.751862577658976
"Malik Fitts",N/A,23,Foward,2.03,104,"St. Mary's College",USA,0,1,1,0,2.9,1997,Undrafted,Undrafted,23,25.237205464825653
"Malachi Flynn","Toronto Raptors",22,Guard,1.85,79,"San Diego State",USA,0,5.7,2,2.6,7.6,1998,2020,29,22,23.08254200146092
"Bryn Forbes","Milwaukee Bucks",27,Guard,1.88,93,"Michigan State",USA,4,9.6,1.5,0.6,7.1,1993,Undrafted,Undrafted,23,26.312811226799457
"Trent Forrest","Utah Jazz",22,Guard,1.93,95,"Florida State",USA,0,1,0.4,1.1,5.9,1998,Undrafted,Undrafted,22,25.50404037692287
"Evan Fournier","Boston Celtics",28,Guard-Forward,2.01,93,"Poitiers Basket 86",France,8,18.6,2.7,3.4,10.1,1992,2012,20,20,23.01923219722285
"De'Aaron Fox","Sacramento Kings",23,Guard,1.91,84,Kentucky,USA,3,25.2,3.5,7.2,12.4,1997,2017,5,20,23.025684602944
