id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
243,"Isaiah Joe",https://www.nba.com/player/1630198/isaiah-joe/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,21,"7 ",Guard,2,75,Arkansas,USA,1999-07-02,Rookie,"2020 R2 Pick 49"
244,"Alize Johnson",https://www.nba.com/player/1628993/alize-johnson/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,24,"24 ",Forward,2,96,"Missouri State",USA,1996-04-22,2,"2018 R2 Pick 50"
245,"Cameron Johnson",https://www.nba.com/player/1629661/cameron-johnson/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,25,"23 ",Forward,2,95,"North Carolina",USA,1996-03-03,1,"2019 R1 Pick 11"
246,"James Johnson",https://www.nba.com/player/201949/james-johnson/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,34,"16 ",Forward,2,109,"Wake Forest",USA,1987-02-20,11,"2009 R1 Pick 16"
247,"Keldon Johnson",https://www.nba.com/player/1629640/keldon-johnson/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,21,"3 ",Forward-Guard,2,100,Kentucky,USA,1999-10-11,1,"2019 R1 Pick 29"
248,"Stanley Johnson",https://www.nba.com/player/1626169/stanley-johnson/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,24,"5 ",Forward-Guard,2,110,Arizona,USA,1996-05-29,5,"2015 R1 Pick 8"
249,"Tyler Johnson",https://www.nba.com/player/204020/tyler-johnson/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,28,"10 ",Guard,2,84,"Fresno State",USA,1992-05-07,6,Undrafted
250,"Nikola Jokic",https://www.nba.com/player/203999/nikola-jokic/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,26,"15 ",Center,2,129,"Mega Basket",Serbia,1995-02-19,5,"2014 R2 Pick 41"
251,"Damian Jones",https://www.nba.com/player/1627745/damian-jones/,NULL,NULL,25,NULL,Center,2,111,Vanderbilt,USA,1995-06-30,4,"2016 R1 Pick 30"
252,"Mason Jones",https://www.nba.com/player/1630222/mason-jones/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,22,"9 ",Guard,2,91,Arkansas,USA,1998-07-21,Rookie,Undrafted
253,"Tre Jones",https://www.nba.com/player/1630200/tre-jones/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,21,"33 ",Guard,2,84,Duke,USA,2000-01-08,Rookie,"2020 R2 Pick 41"
254,"Tyus Jones",https://www.nba.com/player/1626145/tyus-jones/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,24,"21 ",Guard,2,89,Duke,USA,1996-05-10,5,"2015 R1 Pick 24"
255,"Derrick Jones Jr.",https://www.nba.com/player/1627884/derrick-jones-jr/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,24,"5 ",Forward,2,95,UNLV,USA,1997-02-15,4,Undrafted
256,"DeAndre Jordan",https://www.nba.com/player/201599/deandre-jordan/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,32,"6 ",Center,2,120,"Texas A&M",USA,1988-07-21,12,"2008 R2 Pick 35"
257,"Cory Joseph",https://www.nba.com/player/202709/cory-joseph/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,29,"18 ",Guard,2,91,Texas,Canada,1991-08-20,9,"2011 R1 Pick 29"
258,"Mfiondu Kabengele",https://www.nba.com/player/1629662/mfiondu-kabengele/,NULL,NULL,23,NULL,Foward-Center,2,113,"Florida State",Canada,1997-08-14,1,"2019 R1 Pick 27"
259,"Frank Kaminsky",https://www.nba.com/player/1626163/frank-kaminsky/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,28,"8 ",Forward-Center,2,109,Wisconsin,USA,1993-04-04,5,"2015 R1 Pick 9"
260,"Enes Kanter",https://www.nba.com/player/202683/enes-kanter/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,28,"11 ",Center,2,113,Fenerbahce,Turkey,1992-05-20,9,"2011 R1 Pick 3"
261,"Luke Kennard",https://www.nba.com/player/1628379/luke-kennard/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,24,"5 ",Guard,2,93,Duke,USA,1996-06-24,3,"2017 R1 Pick 12"
262,"Maxi Kleber",https://www.nba.com/player/1628467/maxi-kleber/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,29,"42 ",Forward,2,109,"Bayern Munich",Germany,1992-01-29,3,Undrafted
263,"Nathan Knight",https://www.nba.com/player/1630233/nathan-knight/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,23,"1 ",Forward-Center,2,115,"William & Mary",USA,1997-09-20,Rookie,Undrafted
264,"Kevin Knox II",https://www.nba.com/player/1628995/kevin-knox-ii/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,21,"20 ",Forward,2,98,Kentucky,USA,1999-08-11,2,"2018 R1 Pick 9"
265,"John Konchar",https://www.nba.com/player/1629723/john-konchar/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,25,"46 ",Guard,2,95,"Indiana-Purdue Fort Wayne",USA,1996-03-22,1,Undrafted
266,"Furkan Korkmaz",https://www.nba.com/player/1627788/furkan-korkmaz/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,23,"30 ",Guard-Forward,2,92,"Anadolu Efes",Turkey,1997-07-24,3,"2016 R1 Pick 26"
267,"Luke Kornet",https://www.nba.com/player/1628436/luke-kornet/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,25,"40 ",Forward-Center,2,113,Vanderbilt,USA,1995-07-15,3,Undrafted
268,"Rodions Kurucs",https://www.nba.com/player/1629066/rodions-kurucs/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,23,"00 ",Forward,2,103,"FC Barcelona",Latvia,1998-02-05,2,"2018 R2 Pick 40"
269,"Kyle Kuzma",https://www.nba.com/player/1628398/kyle-kuzma/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,25,"0 ",Forward,2,100,Utah,USA,1995-07-24,3,"2017 R1 Pick 27"
270,"Zach LaVine",https://www.nba.com/player/203897/zach-lavine/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,26,"8 ",Guard-Forward,2,91,UCLA,USA,1995-03-10,6,"2014 R1 Pick 13"
271,"Anthony Lamb",https://www.nba.com/player/1630237/anthony-lamb/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,23,"33 ",Forward,2,103,Vermont,USA,1998-01-20,Rookie,Undrafted
272,"Jeremy Lamb",https://www.nba.com/player/203087/jeremy-lamb/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,28,"26 ",Guard-Forward,2,82,Connecticut,USA,1992-05-30,8,"2012 R1 Pick 12"
273,"Romeo Langford",https://www.nba.com/player/1629641/romeo-langford/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,21,"45 ",Guard-Forward,2,98,Indiana,USA,1999-10-25,1,"2019 R1 Pick 14"
274,"Jake Layman",https://www.nba.com/player/1627774/jake-layman/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,27,"10 ",Forward,2,95,Maryland,USA,1994-03-07,4,"2016 R2 Pick 47"
275,"Caris LeVert",https://www.nba.com/player/1627747/caris-levert/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,26,"22 ",Guard,2,93,Michigan,USA,1994-08-25,4,"2016 R1 Pick 20"
276,"Jalen Lecque",https://www.nba.com/player/1629665/jalen-lecque/,NULL,NULL,20,NULL,Guard,2,84,"Brewster Academy (NH)",USA,2000-06-13,1,Undrafted
277,"Damion Lee",https://www.nba.com/player/1627814/damion-lee/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,28,"1 ",Guard-Forward,2,95,Louisville,USA,1992-10-21,3,Undrafted
278,"Saben Lee",https://www.nba.com/player/1630240/saben-lee/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,21,"38 ",Guard,2,83,Vanderbilt,USA,1999-06-23,Rookie,"2020 R2 Pick 38"
279,"Alex Len",https://www.nba.com/player/203458/alex-len/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,27,"27 ",Center,2,113,Maryland,Ukraine,1993-06-16,7,"2013 R1 Pick 5"
280,"Kawhi Leonard",https://www.nba.com/player/202695/kawhi-leonard/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,29,"2 ",Forward,2,102,"San Diego State",USA,1991-06-29,9,"2011 R1 Pick 15"
281,"Meyers Leonard",https://www.nba.com/player/203086/meyers-leonard/,NULL,NULL,29,NULL,Foward-Center,2,118,Illinois,USA,1992-02-27,8,"2012 R1 Pick 11"
282,"Kira Lewis Jr.",https://www.nba.com/player/1630184/kira-lewis-jr/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,19,"13 ",Guard,2,77,Alabama,USA,2001-04-06,Rookie,"2020 R1 Pick 13"
283,"Damian Lillard",https://www.nba.com/player/203081/damian-lillard/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,30,"0 ",Guard,2,88,"Weber State",USA,1990-07-15,8,"2012 R1 Pick 6"
284,"Nassir Little",https://www.nba.com/player/1629642/nassir-little/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,21,"9 ",Forward-Guard,2,100,"North Carolina",USA,2000-02-11,1,"2019 R1 Pick 25"
285,"Kevon Looney",https://www.nba.com/player/1626172/kevon-looney/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,25,"5 ",Forward,2,101,UCLA,USA,1996-02-06,5,"2015 R1 Pick 30"
286,"Brook Lopez",https://www.nba.com/player/201572/brook-lopez/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,33,"11 ",Center,2,128,Stanford,USA,1988-04-01,12,"2008 R1 Pick 10"
287,"Robin Lopez",https://www.nba.com/player/201577/robin-lopez/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,33,"15 ",Center,2,127,Stanford,USA,1988-04-01,12,"2008 R1 Pick 15"
288,"Kevin Love",https://www.nba.com/player/201567/kevin-love/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,32,"0 ",Forward-Center,2,114,UCLA,USA,1988-09-07,12,"2008 R1 Pick 5"
289,"Kyle Lowry",https://www.nba.com/player/200768/kyle-lowry/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,35,"7 ",Guard,2,89,Villanova,USA,1986-03-25,14,"2006 R1 Pick 24"
290,"Timothe Luwawu-Cabarrot",https://www.nba.com/player/1627789/timothe-luwawu-cabarrot/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,25,"9 ",Guard-Forward,2,100,"Mega Basket",France,1995-05-09,4,"2016 R1 Pick 24"
291,"Trey Lyles",https://www.nba.com/player/1626168/trey-lyles/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,25,"41 ",Forward,2,106,Kentucky,Canada,1995-11-05,5,"2015 R1 Pick 12"
292,"Will Magnay",https://www.nba.com/player/1630266/will-magnay/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,22,"25 ",Center,2,106,Australia,Australia,1998-06-10,Rookie,Undrafted
293,"Thon Maker",https://www.nba.com/player/1627748/thon-maker/,NULL,NULL,24,NULL,Foward-Center,2,100,"Athlete Institute Prep","South Sudan",1997-02-25,4,"2016 R1 Pick 10"
294,"Theo Maledon",https://www.nba.com/player/1630177/theo-maledon/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,19,"11 ",Guard,2,79,Asvel,France,2001-06-12,Rookie,"2020 R2 Pick 34"
295,"Karim Mane",https://www.nba.com/player/1630211/karim-mane/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,20,"4 ",Guard,2,86,Vanier,Senegal,2000-05-16,Rookie,Undrafted
296,"Terance Mann",https://www.nba.com/player/1629611/terance-mann/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,24,"14 ",Guard-Forward,2,98,"Florida State",USA,1996-10-18,1,"2019 R2 Pick 48"
297,"Nico Mannion",https://www.nba.com/player/1630185/nico-mannion/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,20,"2 ",Guard,2,86,Arizona,Italy,2001-03-14,Rookie,"2020 R2 Pick 48"
298,"Boban Marjanovic",https://www.nba.com/player/1626246/boban-marjanovic/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,32,"51 ",Center,2,132,"Crvena zvezda",Serbia,1988-08-15,5,Undrafted
299,"Lauri Markkanen",https://www.nba.com/player/1628374/lauri-markkanen/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,23,"24 ",Forward-Center,2,109,Arizona,Finland,1997-05-22,3,"2017 R1 Pick 7"
300,"Naji Marshall",https://www.nba.com/player/1630230/naji-marshall/,"New Orleans Pelicans ",https://www.nba.com/team/1610612740/pelicans/,23,"8 ",Forward,2,100,Xavier,USA,1998-01-24,Rookie,Undrafted
301,"Caleb Martin",https://www.nba.com/player/1628997/caleb-martin/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,25,"10 ",Forward,2,93,Nevada-Reno,USA,1995-09-28,1,Undrafted
302,"Cody Martin",https://www.nba.com/player/1628998/cody-martin/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,25,"11 ",Forward,2,93,Nevada-Reno,USA,1995-09-28,1,"2019 R2 Pick 36"
303,"Kelan Martin",https://www.nba.com/player/1629103/kelan-martin/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,25,"21 ",Forward,2,104,Butler,USA,1995-08-03,1,Undrafted
304,"Kenyon Martin Jr.",https://www.nba.com/player/1630231/kenyon-martin-jr/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,20,"6 ",Forward,2,98,USA,USA,2001-01-06,Rookie,"2020 R2 Pick 52"
305,"Frank Mason",https://www.nba.com/player/1628412/frank-mason/,NULL,NULL,27,NULL,Guard,2,86,Kansas,USA,1994-04-03,3,"2017 R2 Pick 34"
306,"Garrison Mathews",https://www.nba.com/player/1629726/garrison-mathews/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,24,"24 ",Guard,2,98,Lipscomb,USA,1996-10-24,1,Undrafted
307,"Dakota Mathias",https://www.nba.com/player/1629751/dakota-mathias/,NULL,NULL,25,NULL,Guard,2,91,Purdue,USA,1995-07-11,Rookie,"2018 "
308,"Wesley Matthews",https://www.nba.com/player/202083/wesley-matthews/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,34,"9 ",Guard,2,100,Marquette,USA,1986-10-14,11,Undrafted
309,"Tyrese Maxey",https://www.nba.com/player/1630178/tyrese-maxey/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,20,"0 ",Guard,2,91,Kentucky,USA,2000-11-04,Rookie,"2020 R1 Pick 21"
310,"Skylar Mays",https://www.nba.com/player/1630219/skylar-mays/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,23,"4 ",Guard,2,93,"Louisiana State",USA,1997-09-05,Rookie,"2020 R2 Pick 50"
311,"Patrick McCaw",https://www.nba.com/player/1627775/patrick-mccaw/,"Toronto Raptors ",https://www.nba.com/team/1610612761/raptors/,25,"22 ",Guard,2,82,UNLV,USA,1995-10-25,4,"2016 R2 Pick 38"
312,"CJ McCollum",https://www.nba.com/player/203468/cj-mccollum/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,29,"3 ",Guard,2,86,"Lehigh ",USA,1991-09-19,7,"2013 R1 Pick 10"
313,"T.J. McConnell",https://www.nba.com/player/204456/tj-mcconnell/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,29,"9 ",Guard,2,86,Arizona,USA,1992-03-25,5,"2015 "
314,"Jaden McDaniels",https://www.nba.com/player/1630183/jaden-mcdaniels/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,20,"3 ",Forward,2,84,Washington,USA,2000-09-29,Rookie,"2020 R1 Pick 28"
315,"Jalen McDaniels",https://www.nba.com/player/1629667/jalen-mcdaniels/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,23,"6 ",Forward-Center,2,93,"San Diego State",USA,1998-01-31,1,"2019 R2 Pick 52"
316,"Doug McDermott",https://www.nba.com/player/203926/doug-mcdermott/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,29,"20 ",Forward,2,102,Creighton,USA,1992-01-03,6,"2014 R1 Pick 11"
317,"Sean McDermott",https://www.nba.com/player/1630253/sean-mcdermott/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,24,"30 ",Forward,2,88,Butler,USA,1996-11-03,Rookie,Undrafted
318,"JaVale McGee",https://www.nba.com/player/201580/javale-mcgee/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,33,"34 ",Center-Forward,2,122,Nevada-Reno,USA,1988-01-19,12,"2008 R1 Pick 18"
319,"Rodney McGruder",https://www.nba.com/player/203585/rodney-mcgruder/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,29,"17 ",Guard,2,93,"Kansas State",USA,1991-07-29,4,Undrafted
320,"Alfonzo McKinnie",https://www.nba.com/player/1628035/alfonzo-mckinnie/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,28,"28 ",Forward,2,98,"Wisconsin-Green Bay",USA,1992-09-17,3,Undrafted
321,"Jordan McLaughlin",https://www.nba.com/player/1629162/jordan-mclaughlin/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,24,"6 ",Guard,2,84,"Southern California",USA,1996-04-09,1,Undrafted
322,"Ben McLemore",https://www.nba.com/player/203463/ben-mclemore/,NULL,NULL,28,NULL,Guard,2,88,Kansas,USA,1993-02-11,7,"2013 R1 Pick 7"
323,"Nicolo Melli",https://www.nba.com/player/1629740/nicolo-melli/,"Dallas Mavericks ",https://www.nba.com/team/1610612742/mavericks/,30,"44 ",Forward,2,107,Fenerbahce,Italy,1991-01-26,1,Undrafted
324,"De'Anthony Melton",https://www.nba.com/player/1629001/deanthony-melton/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,22,"0 ",Guard,2,91,"Southern California",USA,1998-05-28,2,"2018 R2 Pick 46"
325,"Sam Merrill",https://www.nba.com/player/1630241/sam-merrill/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,24,"15 ",Guard,2,93,"Utah State",USA,1996-05-15,Rookie,"2020 R2 Pick 60"
326,"Chimezie Metu",https://www.nba.com/player/1629002/chimezie-metu/,"Sacramento Kings ",https://www.nba.com/team/1610612758/kings/,24,"25 ",Forward-Center,2,102,"Southern California",USA,1997-03-22,2,"2018 R2 Pick 49"
327,"Khris Middleton",https://www.nba.com/player/203114/khris-middleton/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,29,"22 ",Forward,2,101,"Texas A&M",USA,1991-08-12,8,"2012 R2 Pick 39"
328,"Darius Miller",https://www.nba.com/player/203121/darius-miller/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,31,"12 ",Forward,2,102,Kentucky,USA,1990-03-21,5,"2012 R2 Pick 46"
329,"Patty Mills",https://www.nba.com/player/201988/patty-mills/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,32,"8 ",Guard,2,82,"St.Mary's College of California",Australia,1988-08-11,11,"2009 R2 Pick 55"
330,"Paul Millsap",https://www.nba.com/player/200794/paul-millsap/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,36,"4 ",Forward,2,117,"Louisiana Tech",USA,1985-02-10,14,"2006 R2 Pick 47"
331,"Shake Milton",https://www.nba.com/player/1629003/shake-milton/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,24,"18 ",Guard-Forward,2,93,"Southern Methodist",USA,1996-09-26,2,"2018 R2 Pick 54"
332,"Donovan Mitchell",https://www.nba.com/player/1628378/donovan-mitchell/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,24,"45 ",Guard,2,98,Louisville,USA,1996-09-07,3,"2017 R1 Pick 13"
333,"Adam Mokoka",https://www.nba.com/player/1629690/adam-mokoka/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,22,"20 ",Guard,2,86,"Mega Basket",France,1998-07-18,1,Undrafted
334,"Malik Monk",https://www.nba.com/player/1628370/malik-monk/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,23,"1 ",Guard,2,91,Kentucky,USA,1998-02-04,3,"2017 R1 Pick 11"
335,"E'Twaun Moore",https://www.nba.com/player/202734/etwaun-moore/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,32,"55 ",Guard,2,87,Purdue,USA,1989-02-25,9,"2011 R2 Pick 55"
336,"Ja Morant",https://www.nba.com/player/1629630/ja-morant/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,21,"12 ",Guard,2,79,"Murray State",USA,1999-08-10,1,"2019 R1 Pick 2"
337,"Juwan Morgan",https://www.nba.com/player/1629752/juwan-morgan/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,23,"16 ",Forward,2,105,Indiana,USA,1997-04-17,1,Undrafted
338,"Markieff Morris",https://www.nba.com/player/202693/markieff-morris/,"Los Angeles Lakers ",https://www.nba.com/team/1610612747/lakers/,31,"88 ",Forward,2,111,Kansas,USA,1989-09-02,9,"2011 R1 Pick 13"
339,"Monte Morris",https://www.nba.com/player/1628420/monte-morris/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,25,"11 ",Guard,2,83,"Iowa State",USA,1995-06-27,3,"2017 R2 Pick 51"
340,"Marcus Morris Sr.",https://www.nba.com/player/202694/marcus-morris-sr/,"LA Clippers ",https://www.nba.com/team/1610612746/clippers/,31,"8 ",Forward,2,99,Kansas,USA,1989-09-02,9,"2011 R1 Pick 14"
341,"Mychal Mulder",https://www.nba.com/player/1628539/mychal-mulder/,"Golden State Warriors ",https://www.nba.com/team/1610612744/warriors/,26,"15 ",Guard,2,83,Kentucky,Canada,1994-06-12,1,Undrafted
342,"Dejounte Murray",https://www.nba.com/player/1627749/dejounte-murray/,"San Antonio Spurs ",https://www.nba.com/team/1610612759/spurs/,24,"5 ",Guard,2,82,Washington,USA,1996-09-19,3,"2016 R1 Pick 29"
343,"Jamal Murray",https://www.nba.com/player/1627750/jamal-murray/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,24,"27 ",Guard,2,98,Kentucky,Canada,1997-02-23,4,"2016 R1 Pick 7"
344,"Mike Muscala",https://www.nba.com/player/203488/mike-muscala/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,29,"33 ",Forward-Center,2,109,Bucknell,USA,1991-07-01,7,"2013 R2 Pick 44"
345,"Svi Mykhailiuk",https://www.nba.com/player/1629004/svi-mykhailiuk/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,23,"14 ",Guard-Forward,2,93,Kansas,Ukraine,1997-06-10,2,"2018 R2 Pick 47"
346,"Abdel Nader",https://www.nba.com/player/1627846/abdel-nader/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,27,"11 ",Forward,2,102,"Iowa State",Egypt,1993-09-25,3,"2016 R2 Pick 58"
347,"Larry Nance Jr.",https://www.nba.com/player/1626204/larry-nance-jr/,"Cleveland Cavaliers ",https://www.nba.com/team/1610612739/cavaliers/,28,"22 ",Forward-Center,2,111,Wyoming,USA,1993-01-01,5,"2015 R1 Pick 27"
348,"Aaron Nesmith",https://www.nba.com/player/1630174/aaron-nesmith/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,21,"26 ",Guard-Forward,2,98,Vanderbilt,USA,1999-10-16,Rookie,"2020 R1 Pick 14"
349,"Raul Neto",https://www.nba.com/player/203526/raul-neto/,"Washington Wizards ",https://www.nba.com/team/1610612764/wizards/,28,"19 ",Guard,2,82,Murcia,Brazil,1992-05-19,5,"2013 R2 Pick 47"
350,"Georges Niang",https://www.nba.com/player/1627777/georges-niang/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,27,"31 ",Forward,2,104,"Iowa State",USA,1993-06-17,4,"2016 R2 Pick 50"
351,"Zeke Nnaji",https://www.nba.com/player/1630192/zeke-nnaji/,"Denver Nuggets ",https://www.nba.com/team/1610612743/nuggets/,20,"22 ",Forward-Center,2,109,Arizona,USA,2001-01-09,Rookie,"2020 R1 Pick 22"
352,"Nerlens Noel",https://www.nba.com/player/203457/nerlens-noel/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,26,"3 ",Center-Forward,2,100,Kentucky,USA,1994-04-10,6,"2013 R1 Pick 6"
353,"Jaylen Nowell",https://www.nba.com/player/1629669/jaylen-nowell/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,21,"4 ",Guard,2,91,Washington,USA,1999-07-09,1,"2019 R2 Pick 43"
354,"Frank Ntilikina",https://www.nba.com/player/1628373/frank-ntilikina/,"New York Knicks ",https://www.nba.com/team/1610612752/knicks/,22,"11 ",Guard,2,91,"Strasbourg IG",France,1998-07-28,3,"2017 R1 Pick 8"
355,"Kendrick Nunn",https://www.nba.com/player/1629134/kendrick-nunn/,"Miami Heat ",https://www.nba.com/team/1610612748/heat/,25,"25 ",Guard,2,86,Oakland,USA,1995-08-03,1,Undrafted
356,"Jusuf Nurkic",https://www.nba.com/player/203994/jusuf-nurkic/,"Portland Trail Blazers ",https://www.nba.com/team/1610612757/blazers/,26,"27 ",Center,2,132,Cedevita,"Bosnia and Herzegovina",1994-08-23,6,"2014 R1 Pick 16"
357,"David Nwaba",https://www.nba.com/player/1628021/david-nwaba/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,28,"2 ",Guard-Forward,2,99,"Cal Poly-Obispo",USA,1993-01-14,4,Undrafted
358,"Jordan Nwora",https://www.nba.com/player/1629670/jordan-nwora/,"Milwaukee Bucks ",https://www.nba.com/team/1610612749/bucks/,22,"13 ",Forward,2,102,Louisville,USA,1998-09-09,Rookie,"2020 R2 Pick 45"
359,"Royce O'Neale",https://www.nba.com/player/1626220/royce-oneale/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,27,"23 ",Forward,2,103,Baylor,USA,1993-06-05,3,Undrafted
360,"Semi Ojeleye",https://www.nba.com/player/1628400/semi-ojeleye/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,26,"37 ",Forward,2,109,"Southern Methodist",USA,1994-12-05,3,"2017 R2 Pick 37"
361,"Jahlil Okafor",https://www.nba.com/player/1626143/jahlil-okafor/,"Detroit Pistons ",https://www.nba.com/team/1610612765/pistons/,25,"13 ",Center-Forward,2,122,Duke,USA,1995-12-15,5,"2015 R1 Pick 3"
362,"Chuma Okeke",https://www.nba.com/player/1629643/chuma-okeke/,"Orlando Magic ",https://www.nba.com/team/1610612753/magic/,22,"3 ",Forward,2,104,Auburn,USA,1998-08-18,Rookie,"2019 R1 Pick 16"
363,"Josh Okogie",https://www.nba.com/player/1629006/josh-okogie/,"Minnesota Timberwolves ",https://www.nba.com/team/1610612750/timberwolves/,22,"20 ",Guard,2,97,"Georgia Tech",Nigeria,1998-09-01,2,"2018 R1 Pick 20"
364,"Onyeka Okongwu",https://www.nba.com/player/1630168/onyeka-okongwu/,"Atlanta Hawks ",https://www.nba.com/team/1610612737/hawks/,20,"17 ",Forward-Center,2,107,"Southern California",USA,2000-12-11,Rookie,"2020 R1 Pick 6"
