id,name,player_link,team,team_link,age,number,position,height,weight,last_attended,country,birth_date,experience,draft
61,"Avery Bradley",https://www.nba.com/player/202340/avery-bradley/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,30,"9 ",Guard,2,82,Texas,USA,1990-11-26,10,"2010 R1 Pick 19"
62,"Tony Bradley",https://www.nba.com/player/1628396/tony-bradley/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,23,"13 ",Center-Forward,2,112,"North Carolina",USA,1998-01-08,3,"2017 R1 Pick 28"
63,"Jarrell Brantley",https://www.nba.com/player/1629714/jarrell-brantley/,"Utah Jazz ",https://www.nba.com/team/1610612762/jazz/,24,"5 ",Forward,2,113,"College of Charleston",USA,1996-06-07,1,"2019 R2 Pick 50"
64,"Ignas Brazdeikis",https://www.nba.com/player/1629649/ignas-brazdeikis/,"Philadelphia 76ers ",https://www.nba.com/team/1610612755/sixers/,22,"17 ",Forward,2,100,Michigan,Canada,1999-01-08,1,"2019 R2 Pick 47"
65,"Mikal Bridges",https://www.nba.com/player/1628969/mikal-bridges/,"Phoenix Suns ",https://www.nba.com/team/1610612756/suns/,24,"25 ",Forward,2,95,Villanova,USA,1996-08-30,2,"2018 R1 Pick 10"
66,"Miles Bridges",https://www.nba.com/player/1628970/miles-bridges/,"Charlotte Hornets ",https://www.nba.com/team/1610612766/hornets/,23,"0 ",Forward,2,102,"Michigan State",USA,1998-03-21,2,"2018 R1 Pick 12"
67,"Oshae Brissett",https://www.nba.com/player/1629052/oshae-brissett/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,22,"11 ",Forward-Guard,2,95,Syracuse,Canada,1998-06-20,1,Undrafted
68,"Malcolm Brogdon",https://www.nba.com/player/1627763/malcolm-brogdon/,"Indiana Pacers ",https://www.nba.com/team/1610612754/pacers/,28,"7 ",Guard,2,104,Virginia,USA,1992-12-11,4,"2016 R2 Pick 36"
69,"Dillon Brooks",https://www.nba.com/player/1628415/dillon-brooks/,"Memphis Grizzlies ",https://www.nba.com/team/1610612763/grizzlies/,25,"24 ",Guard-Forward,2,102,Oregon,Canada,1996-01-22,3,"2017 R2 Pick 45"
70,"Bruce Brown",https://www.nba.com/player/1628971/bruce-brown/,"Brooklyn Nets ",https://www.nba.com/team/1610612751/nets/,24,"1 ",Guard-Forward,2,92,Miami,USA,1996-08-15,2,"2018 R2 Pick 42"
71,"Jaylen Brown",https://www.nba.com/player/1627759/jaylen-brown/,"Boston Celtics ",https://www.nba.com/team/1610612738/celtics/,24,"7 ",Guard-Forward,2,101,California,USA,1996-10-24,4,"2016 R1 Pick 3"
72,"Moses Brown",https://www.nba.com/player/1629650/moses-brown/,"Oklahoma City Thunder ",https://www.nba.com/team/1610612760/thunder/,21,"9 ",Center,2,111,UCLA,USA,1999-10-13,1,Undrafted
73,"Sterling Brown",https://www.nba.com/player/1628425/sterling-brown/,"Houston Rockets ",https://www.nba.com/team/1610612745/rockets/,26,"0 ",Guard-Forward,2,99,"Southern Methodist",USA,1995-02-10,3,"2017 R2 Pick 46"
74,"Troy Brown Jr.",https://www.nba.com/player/1628972/troy-brown-jr/,"Chicago Bulls ",https://www.nba.com/team/1610612741/bulls/,21,"7 ",Guard-Forward,2,98,Oregon,USA,1999-07-28,2,"2018 R1 Pick 15"
